"source","target","value"
"HIC","nodoc",0.8450863303726
"HIC","pledge",1.7922663241573
"HIC","policy",13.536333584797
"HIC","law",12.644360540197
"UMC","nodoc",4.87016921642038
"UMC","pledge",1.592219015769
"UMC","policy",31.4946291346853
"UMC","law",3.868344995
"LMC","nodoc",8.0274961549321
"LMC","pledge",0.9070258327
"LMC","policy",12.7355615336892
"LIC","nodoc",3.919009980523
"LIC","pledge",0.05293596658
"LIC","policy",0.037642014198
"unknown","nodoc",3.68
"law","≥2050",14.88224159025
"law","≥2040",1.513056231647
"law","≥2030",0.1174077133
"policy","≥2050",57.6628228152393
"policy","≥2040",0.099661905173
"policy","achieved",0.0416815469572
"pledge","≥2050",4.2652642583023
"pledge","≥2030",0.039390468674
"pledge","achieved",0.03979241223
"nodoc","notarget",21.3417616822481
